key,de-DE,en-US,it-IT,es-ES
custom.data.type.georef.name,Freie Georeferenzierung auf Karte setzen (Georef),Free georeferencing on map (Georef),,
custom.data.type.georef.edit.button|icon,edit,edit,,
custom.data.type.georef.remove.button|icon,trash,trash,,
custom.data.type.georef.config.option.mask.editor_style.value.inline,Eingebettet,Embedded,,
custom.data.type.georef.setting.mask.editor_style,Editor-Stil,Editor-Style,,
custom.data.type.georef.config.option.mask.editor_style.value.popover,Popover,Popover,,
custom.data.type.georef.modal.form.url.placeholder,georef-Verknüpfung,georef-Link,,
custom.data.type.georef.modal.form.text.label,Text,TEst,,
custom.data.type.georef.edit.modal.title|text,Freie Georeferenzierung auf Karte setzen (Georef),Free georeferencing on map (Georef),,
custom.data.type.georef.edit.no_valid_georef,Keine valide georef-Verknüpfung,No valid georef-link,,
custom.data.type.georef.edit.no_georef,Keine georef-Verknüpfung gesetzt,No georef-link,,
custom.data.type.georef.modal.form.text.result.placeholder,noch leer,empty,,
custom.data.type.georef.modal.form.text.uri.label.placeholder,noch leer,empty,,
custom.data.type.georef.config.parameter.schema.mapbox_access_token.value.label,Mapbox-Access-Token (für Kartenanzeige benötigt),Mapbox Access Token (required for map display),,
custom.data.type.georef.edit.choosen_type,Gewählter Typ,Choosen type,,
custom.data.type.georef.edit.linked_georef,Verknüpfte Georeferenzierung,Linked georeferencing,,
custom.data.type.georef.edit.kartenansicht,Kartenansicht,Map,,
custom.data.type.georef.config.parameter.schema.use_geocoder.value.label,Geocoder,Geocoder,,
custom.data.type.georef.config.parameter.schema.use_geocoder.value.checkbox,Fügt der Karte ein Geokodierungs-Steuerelement hinzu mit dem Sie die Karte nach einem Ort durchsuchen können,adds a geocoding control to the map which enables you to search the map for a place,,
custom.data.type.georef.modal.form.text.georef_empty,noch keine Georeferenzierung,no georeferencing yet,,
custom.data.type.georef.config.parameter.schema.allow_textinput_point.value.label,Texteingabe,Textinput,,
custom.data.type.georef.config.parameter.schema.allow_textinput_linestring.value.label,Texteingabe,Textinput,,
custom.data.type.georef.config.parameter.schema.allow_textinput_geojson.value.label,Texteingabe,Textinput,,
custom.data.type.georef.config.parameter.schema.allow_textinput_geojson.value.checkbox,Für GeoJSON erlauben,Allow for GeoJSON,,
custom.data.type.georef.config.parameter.schema.allow_textinput_polygon.value.label,Texteingabe,Textinput,,
custom.data.type.georef.config.parameter.schema.allow_textinput_point.value.checkbox,Für POINT erlauben,Allow for POINT,,
custom.data.type.georef.config.parameter.schema.allow_textinput_linestring.value.checkbox,Für LINESTRING erlauben,Allow for LINESTRING,,
custom.data.type.georef.config.parameter.schema.allow_textinput_polygon.value.checkbox,Für POLYGON erlauben,Allow for POLYGON,,

custom.data.type.georef.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display,,
custom.data.type.georef.config.option.mask.editor_display.value.default,Standard,Default,,
custom.data.type.georef.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner,,

custom.data.type.georef.controls.addnew.point.label,POINT,POINT,,
custom.data.type.georef.add_new.point.header_left,POINT eingeben,POINT input,,
custom.data.type.georef.add_new.modal.form.latitude,Latitude,Latitude,,
custom.data.type.georef.add_new.modal.form.latitude.hint,"Geographische Breite / Breitengrad.\nBeispiel: 9.95033","Geographic Latitude. Example: 9.95033",,
custom.data.type.georef.add_new.modal.form.longitude,Longitude,Longitude,,
custom.data.type.georef.add_new.modal.form.longitude.hint,"Geographische Länge / Längengrad.\nBeispiel: 51.53723","Geographic Longitude. Example: 51.53723",,

custom.data.type.georef.controls.addnew.linestring.label,LINESTRING,LINESTRING,,
custom.data.type.georef.add_new.linestring.header_left,LINESTRING eingeben,LINESTRING input,,
custom.data.type.georef.add_new.modal.form.linestring,Linestring,Linestring,,
custom.data.type.georef.add_new.modal.form.hintlabel,Hinweise,Hints,,
custom.data.type.georef.add_new.modal.form.linestring.examples,"Beispiel: \n\n[ [ 9.82, 51.61 ], [ 9.86, 51.53 ], [ 10.00, 51.52 ], [ 10.05, 51.47 ] ]\n\n[ [Längengrad, Breitengrad], [Längengrad, Breitengrad] ]","Example: [ [ 9.82, 51.61 ], [ 9.86, 51.53 ], [ 10.00, 51.52 ], [ 10.05, 51.47 ] ]\n\n[ [longitude, latitude], [longitude, latitude] ]",,
custom.data.type.georef.add_new.modal.form.linestring.hints,"Koordinaten in einem GeoJSON-Linestring bestehen aus geografischen Breiten- & Längengraden im WGS 84-Koordinatensystem. Die Koordinaten werden als kommaseparierte Paare in einer als Linie geordneten Reihenfolge dargestellt, wobei zuerst die Längengrade (X-Koordinaten) und dann die Breitengrade (Y-Koordinaten) angegeben werden. Spezifikation: https://datatracker.ietf.org/doc/html/rfc7946#section-3.1.4","Coordinates in a GeoJSON linestring consist of geographic latitudes and longitudes in the WGS 84 coordinate system. The coordinates are presented as comma-separated pairs in a line-ordered order, with longitude (X coordinates) given first and then latitude (Y coordinates). Specification: https://datatracker.ietf.org/doc/html/rfc7946#section-3.1.4",,

custom.data.type.georef.controls.addnew.polygon.label,POLYGON,POLYGON,,
custom.data.type.georef.add_new.polygon.header_left,POLYGON eingeben,POLYGON input,,
custom.data.type.georef.add_new.modal.form.polygon,Polygon,Polygon,,
custom.data.type.georef.add_new.modal.form.hintlabel,Hinweise,Hints,,
custom.data.type.georef.add_new.modal.form.polygon.examples,"Beispiel: \n\n[ [ [ 9.506, 51.813 ], [ 9.550, 51.238 ], [ 10.583, 51.266 ], [ 10.429, 51.799 ], [ 9.506, 51.813 ] ] ]\n\n[ [Längengrad, Breitengrad], [Längengrad, Breitengrad], [Längengrad, Breitengrad], [Längengrad, Breitengrad] ]","Example: [ [ [ 9.506, 51.813 ], [ 9.550, 51.238 ], [ 10.583, 51.266 ], [ 10.429, 51.799 ], [ 9.506, 51.813 ] ] ]\n\n[ [longitude, latitude], [longitude, latitude], [longitude, latitude], [longitude, latitude], [...] ]",,
custom.data.type.georef.add_new.modal.form.polygon.hints,"Ein GeoJSON Polygon repräsentiert eine geschlossene Fläche auf einer Karte und besteht aus einer geordneten Liste von Koordinatenpaaren, wobei jeder Punkt die Ecke des Polygons darstellt. Diese Koordinaten sind im WGS 84-Koordinatensystem angegeben, wobei zuerst die Längengrade (X-Koordinaten) und dann die Breitengrade (Y-Koordinaten) angegeben werden. Die ersten und letzten Koordinaten in der Liste sind identisch, um das Polygon zu schließen. Spezifikation: https://datatracker.ietf.org/doc/html/rfc7946#section-3.1.6","A GeoJSON polygon represents a closed area on a map and consists of an ordered list of coordinate pairs, where each point represents the corner of the polygon. These coordinates are given in the WGS 84 coordinate system, with longitude (X coordinates) given first and then latitude (Y coordinates). The first and last coordinates in the list are the same to close the polygon. Specification: https://datatracker.ietf.org/doc/html/rfc7946#section-3.1.6",,


custom.data.type.georef.add_new.modal.cancel_button,Abbrechen,Cancel,,
custom.data.type.georef.add_new.modal.ok,Ok,Ok,,
custom.data.type.georef.add_new.modal.error,Werte nicht lesbar,Values incorrect,,
